,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.11072,1000.218802,1000.326516,1000.43292,1000.536265,1000.641381,1000.745478,1000.846954,1000.946938,1001.046482,1001.146357,1001.252298,1001.351112,1001.451107,1001.552433,1001.651697,1001.757562,1001.859962,1001.960809,1002.059312,1002.158054,1002.25798,1002.358516,1002.458562,1002.558156,1002.656316,1002.754877,1002.855915,1002.957103,1003.053949,1003.150723,1003.247126,1003.342595,1003.441615,1003.538367,1003.635911,1003.732752,1003.823379,1003.915369,1004.0157,1004.114365,1004.210188,1004.308439,1004.407314,1004.505665,1004.608326,1004.706295,1004.806726,1004.904734,1005.00227,1005.116961,1005.217262,1005.314155,1005.429494,1005.527836,1005.624597,1005.724355,1005.824194,1005.928659,1006.032259,1006.141072,1006.255148,1006.368472,1006.48181,1006.585306,1006.689317,1006.793308,1006.897309,1007.000718,1007.104469,1007.208301,1007.313101,1007.424954,1007.532144,1007.637612,1007.743646,1007.849479,1007.958407,1008.061138,1008.161612,1008.263789,1008.374133,1008.473126,1008.57242
1,2000.22144,2000.437604,2000.653031,2000.865841,2001.07253,2001.282763,2001.490956,2001.693907,2001.893876,2002.092965,2002.292714,2002.504596,2002.702223,2002.902213,2003.104867,2003.303395,2003.515124,2003.719923,2003.921618,2004.118623,2004.316109,2004.515959,2004.717032,2004.917123,2005.116312,2005.312633,2005.509755,2005.71183,2005.914206,2006.107897,2006.301447,2006.494252,2006.68519,2006.88323,2007.076734,2007.271822,2007.465503,2007.646757,2007.830738,2008.031401,2008.22873,2008.420375,2008.616879,2008.814627,2009.01133,2009.216651,2009.41259,2009.613451,2009.809469,2010.004541,2010.233923,2010.434524,2010.62831,2010.858989,2011.055671,2011.249195,2011.448711,2011.648387,2011.857317,2012.064518,2012.282143,2012.510296,2012.736945,2012.963619,2013.170612,2013.378633,2013.586615,2013.794619,2014.001435,2014.208938,2014.416603,2014.626203,2014.849907,2015.064287,2015.275224,2015.487291,2015.698958,2015.916815,2016.122277,2016.323224,2016.527578,2016.748267,2016.946251,2017.14484
2,5000.5536,5001.09401,5001.632578,5002.164601,5002.681325,5003.206907,5003.72739,5004.234768,5004.734691,5005.232412,5005.731784,5006.261491,5006.755559,5007.255533,5007.762167,5008.258487,5008.787809,5009.299808,5009.804044,5010.296558,5010.790272,5011.289898,5011.792581,5012.292808,5012.790779,5013.281581,5013.774387,5014.279575,5014.785516,5015.269743,5015.753617,5016.235631,5016.712976,5017.208075,5017.691834,5018.179554,5018.663758,5019.116893,5019.576845,5020.078501,5020.571825,5021.050938,5021.542197,5022.036568,5022.528326,5023.041628,5023.531475,5024.033628,5024.523672,5025.011352,5025.584806,5026.08631,5026.570774,5027.147472,5027.639178,5028.122987,5028.621777,5029.120969,5029.643293,5030.161296,5030.705358,5031.27574,5031.842362,5032.409048,5032.926531,5033.446583,5033.966538,5034.486547,5035.003588,5035.522345,5036.041507,5036.565507,5037.124768,5037.660718,5038.18806,5038.718229,5039.247395,5039.792037,5040.305692,5040.808059,5041.318945,5041.870667,5042.365628,5042.862099
3,10001.1072,10002.18802,10003.26516,10004.3292,10005.36265,10006.41381,10007.45478,10008.46954,10009.46938,10010.46482,10011.46357,10012.52298,10013.51112,10014.51107,10015.52433,10016.51697,10017.57562,10018.59962,10019.60809,10020.59312,10021.58054,10022.5798,10023.58516,10024.58562,10025.58156,10026.56316,10027.54877,10028.55915,10029.57103,10030.53949,10031.50723,10032.47126,10033.42595,10034.41615,10035.38367,10036.35911,10037.32752,10038.23379,10039.15369,10040.157,10041.14365,10042.10188,10043.08439,10044.07314,10045.05665,10046.08326,10047.06295,10048.06726,10049.04734,10050.0227,10051.16961,10052.17262,10053.14155,10054.29494,10055.27836,10056.24597,10057.24355,10058.24194,10059.28659,10060.32259,10061.41072,10062.55148,10063.68472,10064.8181,10065.85306,10066.89317,10067.93308,10068.97309,10070.00718,10071.04469,10072.08301,10073.13101,10074.24954,10075.32144,10076.37612,10077.43646,10078.49479,10079.58407,10080.61138,10081.61612,10082.63789,10083.74133,10084.73126,10085.7242
4,15001.6608,15003.28203,15004.89773,15006.4938,15008.04397,15009.62072,15011.18217,15012.7043,15014.20407,15015.69724,15017.19535,15018.78447,15020.26668,15021.7666,15023.2865,15024.77546,15026.36343,15027.89942,15029.41213,15030.88967,15032.37082,15033.86969,15035.37774,15036.87842,15038.37234,15039.84474,15041.32316,15042.83872,15044.35655,15045.80923,15047.26085,15048.70689,15050.13893,15051.62422,15053.0755,15054.53866,15055.99127,15057.35068,15058.73053,15060.2355,15061.71547,15063.15281,15064.62659,15066.1097,15067.58498,15069.12489,15070.59443,15072.10088,15073.57102,15075.03406,15076.75442,15078.25893,15079.71232,15081.44242,15082.91753,15084.36896,15085.86533,15087.36291,15088.92988,15090.48389,15092.11607,15093.82722,15095.52709,15097.22714,15098.77959,15100.33975,15101.89961,15103.45964,15105.01077,15106.56703,15108.12452,15109.69652,15111.3743,15112.98215,15114.56418,15116.15469,15117.74218,15119.37611,15120.91708,15122.42418,15123.95684,15125.612,15127.09688,15128.5863
5,20002.2144,20004.37604,20006.53031,20008.65841,20010.7253,20012.82763,20014.90956,20016.93907,20018.93876,20020.92965,20022.92714,20025.04596,20027.02223,20029.02213,20031.04867,20033.03395,20035.15124,20037.19923,20039.21618,20041.18623,20043.16109,20045.15959,20047.17032,20049.17123,20051.16312,20053.12633,20055.09755,20057.1183,20059.14206,20061.07897,20063.01447,20064.94252,20066.8519,20068.8323,20070.76734,20072.71822,20074.65503,20076.46757,20078.30738,20080.31401,20082.2873,20084.20375,20086.16879,20088.14627,20090.1133,20092.16651,20094.1259,20096.13451,20098.09469,20100.04541,20102.33923,20104.34524,20106.2831,20108.58989,20110.55671,20112.49195,20114.48711,20116.48387,20118.57317,20120.64518,20122.82143,20125.10296,20127.36945,20129.63619,20131.70612,20133.78633,20135.86615,20137.94619,20140.01435,20142.08938,20144.16603,20146.26203,20148.49907,20150.64287,20152.75224,20154.87291,20156.98958,20159.16815,20161.22277,20163.23224,20165.27578,20167.48267,20169.46251,20171.4484
6,29963.93204,29932.89167,29952.61715,29929.17707,29913.2615,29957.00779,30023.02225,30086.05395,30121.83858,30165.69095,30156.41978,30165.03282,30200.0597,30210.97669,30191.76239,30211.604,30220.61128,30256.32856,30263.97187,30236.73021,30273.46409,30308.21535,30317.16106,30301.24929,30299.09813,30359.5202,30388.05625,30353.29748,30245.59196,30166.50749,30247.28422,30255.23925,30308.76842,30271.07349,30237.59325,30258.52419,30311.93528,30338.08519,30360.72404,30422.72385,30390.73514,30382.93488,30406.14782,30405.93008,30403.55397,30365.08799,30323.84937,30338.4898,30338.70742,30326.30403,30399.15515,30442.67054,30439.11939,30441.65956,30470.69423,30521.14515,30513.69551,30553.09169,30568.73893,30554.53522,30493.9741,30513.48115,30515.16538,30504.56077,30557.26239,30558.8082,30560.35371,30561.89938,30563.43624,30731.57247,30744.73234,30708.80811,30711.2108,30559.34033,30548.76872,30533.55412,30638.36476,30556.64401,30596.10598,30591.03298,30662.84777,30751.55268,30730.3186,30859.67118
7,49939.85617,49888.08421,49920.96482,49881.88679,49855.32821,49928.27563,50038.37415,50143.48537,50203.1634,50276.28229,50260.8245,50275.18438,50333.59414,50351.79934,50319.75358,50352.8385,50367.85011,50427.41587,50440.17027,50394.73488,50455.995,50513.95075,50528.86511,50502.32893,50498.73782,50599.4943,50647.09137,50589.12211,50409.52674,50277.62781,50412.31945,50425.5827,50514.85104,50452.01495,50396.17661,50431.08242,50520.14325,50563.75274,50601.51582,50704.91258,50651.56545,50638.55384,50677.26298,50676.88889,50672.92285,50608.75884,50540.01125,50564.42218,50564.78439,50544.10624,50665.57772,50738.13499,50732.20523,50736.43827,50784.8503,50868.98821,50856.55559,50922.25286,50948.34713,50924.647,50823.64167,50856.1689,50858.97538,50841.26834,50929.15205,50931.72787,50934.3032,50936.87881,50939.43972,51219.81615,51241.7648,51181.85843,51185.86772,51236.21971,50935.81697,50902.93093,51053.6141,50810.86057,50993.17233,50972.6477,51034.78027,51245.5687,51145.79684,51380.06221
8,99879.71234,99776.16842,99841.92964,99763.77358,99710.65641,99856.55126,100076.7483,100286.9707,100406.3268,100552.5646,100521.649,100550.3688,100667.1883,100703.5987,100639.5072,100705.677,100735.7002,100854.8317,100880.3405,100789.4698,100911.99,101027.9015,101057.7302,101004.6579,100997.4756,101198.9886,101294.1827,101178.2442,100819.0535,100555.2556,100824.6389,100851.1654,101029.7021,100904.0299,100792.3532,100862.1648,101040.2865,101127.5055,101203.0316,101409.8252,101303.1309,101277.1077,101354.526,101353.7778,101345.8457,101217.5177,101080.0225,101128.8444,101129.5688,101088.2125,101331.1554,101476.27,101464.4105,101472.8765,101569.7006,101737.9764,101713.1112,101844.5057,101896.6943,101849.294,101647.2833,101712.3378,101717.9508,101682.5367,101858.3041,101863.4557,101868.6064,101873.7576,101878.8794,102439.6323,102483.5296,102363.7169,102371.7354,102472.4394,101871.6339,101805.8619,102107.2282,101621.7211,101986.3447,101945.2954,102069.5605,102491.1374,102291.5937,102760.1244
9,199759.4247,199552.3368,199683.8593,199527.5472,199421.3128,199713.1025,200153.4966,200573.9415,200812.6536,201105.1292,201043.298,201100.7375,201334.3766,201407.1974,201279.0143,201411.354,201471.4004,201709.6635,201760.6811,201578.9395,201823.98,202055.803,202115.4604,202009.3157,201994.9513,202397.9772,202588.3655,202356.4884,201638.107,201110.5112,201649.2778,201702.3308,202059.4042,201808.0598,201584.7064,201724.3297,202080.573,202255.011,202406.0633,202819.6503,202606.2618,202554.2153,202709.0519,202707.5556,202691.6914,202435.0353,202160.045,202257.6887,202259.1376,202176.4249,202662.3109,202952.54,202928.8209,202945.7531,203139.4012,203475.9528,203426.2224,203689.0114,203793.3885,203698.588,203294.5667,203424.6756,203435.9015,203365.0734,203716.6082,203726.9115,203737.2128,203747.5152,203757.7589,204879.2646,204967.0592,204727.4337,204743.4709,203723.3193,203648.2942,203545.6704,204257.4708,203709.2299,203969.5284,203940.449,204430.5606,205031.5967,204894.1779,205764.8935
